2025-09-19 00:06:56 | INFO     | cloud_scheduler.core.workload:start_execution:103 | Workload wl_batch_000011 started execution at 20.00s (queued for 0.00s)
2025-09-19 00:06:56 | INFO     | cloud_scheduler.core.resources:schedule_on_host:247 | Container container_wl_batch_000012 scheduled on host demo-host-05
2025-09-19 00:06:56 | INFO     | cloud_scheduler.scheduling.baseline:_place_workload_on_host:126 | Workload wl_batch_000012 scheduled on host demo-host-05
2025-09-19 00:06:56 | INFO     | cloud_scheduler.core.workload:start_execution:103 | Workload wl_batch_000012 started execution at 22.00s (queued for 0.00s)
2025-09-19 00:06:56 | INFO     | cloud_scheduler.core.resources:schedule_on_host:247 | Container container_wl_batch_000013 scheduled on host demo-host-04
2025-09-19 00:06:56 | INFO     | cloud_scheduler.scheduling.baseline:_place_workload_on_host:126 | Workload wl_batch_000013 scheduled on host demo-host-04
2025-09-19 00:06:56 | INFO     | cloud_scheduler.core.workload:start_execution:103 | Workload wl_batch_000013 started execution at 24.00s (queued for 0.00s)
2025-09-19 00:06:56 | INFO     | cloud_scheduler.core.resources:schedule_on_host:247 | Container container_wl_batch_000014 scheduled on host demo-host-05
2025-09-19 00:06:56 | INFO     | cloud_scheduler.scheduling.baseline:_place_workload_on_host:126 | Workload wl_batch_000014 scheduled on host demo-host-05
2025-09-19 00:06:56 | INFO     | cloud_scheduler.core.workload:start_execution:103 | Workload wl_batch_000014 started execution at 26.00s (queued for 0.00s)
2025-09-19 00:06:56 | INFO     | cloud_scheduler.core.resources:schedule_on_host:247 | Container container_wl_batch_000015 scheduled on host demo-host-06
2025-09-19 00:06:56 | INFO     | cloud_scheduler.scheduling.baseline:_place_workload_on_host:126 | Workload wl_batch_000015 scheduled on host demo-host-06
2025-09-19 00:06:56 | INFO     | cloud_scheduler.core.workload:start_execution:103 | Workload wl_batch_000015 started execution at 28.00s (queued for 0.00s)
2025-09-19 00:06:56 | INFO     | cloud_scheduler.core.resources:schedule_on_host:247 | Container container_wl_batch_000016 scheduled on host demo-host-06
2025-09-19 00:06:56 | INFO     | cloud_scheduler.scheduling.baseline:_place_workload_on_host:126 | Workload wl_batch_000016 scheduled on host demo-host-06
2025-09-19 00:06:56 | INFO     | cloud_scheduler.core.workload:start_execution:103 | Workload wl_batch_000016 started execution at 30.00s (queued for 0.00s)
2025-09-19 00:06:56 | INFO     | cloud_scheduler.core.resources:schedule_on_host:247 | Container container_wl_batch_000017 scheduled on host demo-host-05
2025-09-19 00:06:56 | INFO     | cloud_scheduler.scheduling.baseline:_place_workload_on_host:126 | Workload wl_batch_000017 scheduled on host demo-host-05
2025-09-19 00:06:56 | INFO     | cloud_scheduler.core.workload:start_execution:103 | Workload wl_batch_000017 started execution at 32.00s (queued for 0.00s)
2025-09-19 00:06:56 | INFO     | cloud_scheduler.core.resources:schedule_on_host:247 | Container container_wl_batch_000018 scheduled on host demo-host-06
2025-09-19 00:06:56 | INFO     | cloud_scheduler.scheduling.baseline:_place_workload_on_host:126 | Workload wl_batch_000018 scheduled on host demo-host-06
2025-09-19 00:06:56 | INFO     | cloud_scheduler.core.workload:start_execution:103 | Workload wl_batch_000018 started execution at 34.00s (queued for 0.00s)
2025-09-19 00:06:56 | INFO     | cloud_scheduler.core.resources:schedule_on_host:247 | Container container_wl_batch_000019 scheduled on host demo-host-07
2025-09-19 00:06:56 | INFO     | cloud_scheduler.scheduling.baseline:_place_workload_on_host:126 | Workload wl_batch_000019 scheduled on host demo-host-07
2025-09-19 00:06:56 | INFO     | cloud_scheduler.core.workload:start_execution:103 | Workload wl_batch_000019 started execution at 36.00s (queued for 0.00s)
2025-09-19 00:06:56 | INFO     | cloud_scheduler.core.resources:schedule_on_host:247 | Container container_wl_batch_000020 scheduled on host demo-host-07
2025-09-19 00:06:56 | INFO     | cloud_scheduler.scheduling.baseline:_place_workload_on_host:126 | Workload wl_batch_000020 scheduled on host demo-host-07
2025-09-19 00:06:56 | INFO     | cloud_scheduler.core.workload:start_execution:103 | Workload wl_batch_000020 started execution at 38.00s (queued for 0.00s)
2025-09-19 00:06:56 | INFO     | cloud_scheduler.core.resources:schedule_on_host:247 | Container container_wl_batch_000021 scheduled on host demo-host-07
2025-09-19 00:06:56 | INFO     | cloud_scheduler.scheduling.baseline:_place_workload_on_host:126 | Workload wl_batch_000021 scheduled on host demo-host-07
2025-09-19 00:06:56 | INFO     | cloud_scheduler.core.workload:start_execution:103 | Workload wl_batch_000021 started execution at 40.00s (queued for 0.00s)
2025-09-19 00:06:56 | INFO     | cloud_scheduler.core.resources:schedule_on_host:247 | Container container_wl_batch_000022 scheduled on host demo-host-06
2025-09-19 00:06:56 | INFO     | cloud_scheduler.scheduling.baseline:_place_workload_on_host:126 | Workload wl_batch_000022 scheduled on host demo-host-06
2025-09-19 00:06:56 | INFO     | cloud_scheduler.core.workload:start_execution:103 | Workload wl_batch_000022 started execution at 42.00s (queued for 0.00s)
2025-09-19 00:06:56 | INFO     | cloud_scheduler.core.resources:schedule_on_host:247 | Container container_wl_batch_000023 scheduled on host demo-host-08
2025-09-19 00:06:56 | INFO     | cloud_scheduler.scheduling.baseline:_place_workload_on_host:126 | Workload wl_batch_000023 scheduled on host demo-host-08
